"Definition Name","Layer","Entity Name","LenX","LenY","LenZ","Quantity"
"Marc","Человек","Marc","569 mm","7 mm","1822 mm","1"
"Model","Layer0","Model","0 mm","0 mm","0 mm","1"
"frustum_faces","Camera_FOV_Volume","frustum_faces","10317 mm, 11415 mm, 9033 mm","13285 mm, 13562 mm, 9841 mm","5696 mm, 6506 mm, 7198 mm","3"
"frustum_rays","Camera_FOV_Lines","frustum_rays","0 mm","0 mm","0 mm","3"
"Брусок","Каркас (8), Потолок (4)","ВерхДляТрубы (2), ВерхЛево (2), ВерхПраво (2), ВерхЦентр (2), НизЛево (2), НизПраво (2)","940 mm","40 mm","40 mm","12"
"БрусокВертикальныйПодножка","Седение","БрусокВертикальныйПодножка","40 mm","40 mm","404 mm","4"
"БрусокВертикальныйПодножкаПрихожаяСредний","Седение","БрусокВертикальныйПодножкаПрихожаяСредний","40 mm","40 mm","424 mm","1"
"БрусокВертикальныйПодножкаСредняя","Седение","БрусокВертикальныйПодножкаСредняя","40 mm","40 mm","424 mm","1"
"БрусокВертикльный","Каркас","БрусокВертикльный","40 mm","40 mm","1940 mm","11"
"БрусокВертикльныйСеденье","Седение","БрусокВертикльныйСеденье","40 mm","40 mm","887 mm","2"
"БрусокВертикльныйСеденьеСредняя","Седение","БрусокВертикльныйСеденьеСредняя","40 mm","40 mm","907 mm","1"
"БрусокВерх","Каркас (2), Потолок","ВерхТыл, ВерхФронт, ВерхЦентр","1956 mm","40 mm","40 mm","3"
"БрусокВходНиз","Каркас","БрусокВходНиз","1876 mm","40 mm","40 mm","1"
"БрусокКрыша","Крыша","БрусокКрыша","40 mm","1170 mm","444 mm","12"
"БрусокКрышаВертикльный","Крыша","БрусокКрышаВертикльный","40 mm","40 mm","300 mm","4"
"БрусокКрышаЦентр","Крыша","БрусокКрышаЦентр","2000 mm","40 mm","40 mm","1"
"БрусокКрышаЦентрПрихожка","Крыша","БрусокКрышаЦентрПрихожка","1600 mm","40 mm","40 mm","1"
"БрусокПол","Пол","БрусокПол","1920 mm","40 mm","20 mm","5"
"БрусокПолКороткий","Пол","БрусокПолКороткий","940 mm","40 mm","20 mm","2"
"БрусокПолПрихожаяОпораЛавка","Пол","БрусокПолПрихожаяОпораЛавка","553 mm","40 mm","20 mm","1"
"БрусокПолСоединительный","Пол","БрусокПолСоединительный","545 mm","40 mm","20 mm","1"
"БрусокПрихожаяВерх","Каркас","Тыл, Фронт","1956 mm","40 mm","40 mm","2"
"БрусокПрихожаяНиз","Каркас","БрусокПрихожаяНиз","1876 mm","40 mm","40 mm","2"
"БрусокПрихожка","Каркас (4), Потолок, Седение","БрусокПрихожка, ВерхЦентр, ЛевоВерх, ЛевоНиз, ПравоВерх, ПравоНиз","1520 mm","40 mm","40 mm","6"
"БрусокПрихожкаПол","Пол","БрусокПрихожкаПол","1520 mm","40 mm","20 mm","4"
"БрусокСедениеПрихожка","Седение","БрусокСедениеПрихожка","40 mm","351 mm","40 mm","3"
"БрусокСеденье","Седение","БрусокСеденье","40 mm","350 mm","40 mm","5"
"БрусокСеденьеПриВходе","Седение","БрусокСеденьеПриВходе","40 mm","389 mm","40 mm","1"
"БрусокТылНиз","Каркас","БрусокТылНиз","918 mm","40 mm","40 mm","2"
"БурокВертикльныйВход","Каркас","БурокВертикльныйВход","40 mm","40 mm","1900 mm","5"
"Вагонка","Наличник","Вагонка","10 mm","90 mm","2000 mm","40"
"ВагонкаОбрезВерх","Наличник","ВагонкаОбрезВерх","10 mm","66 mm","2000 mm","1"
"ВегонкаОбрезНиз","Наличник","ВегонкаОбрезНиз","10 mm","70 mm","2000 mm","1"
"ВнешняРейкаВертикальная","ВнешнииСтенки","ВнешняРейкаВертикальная","22 mm","40 mm","1900 mm","19"
"ДоскаПолПарилка1","Пол","ДоскаПолПарилка1","1860 mm","90 mm","20 mm","7"
"ДоскаПолПарилка2","Пол","ДоскаПолПарилка2","1321 mm","90 mm","20 mm","7"
"ДоскаПолПрихожая","Пол","ДоскаПолПрихожая","1876 mm","90 mm","20 mm","10"
"ДоскаПолПрихожая1","Пол","ДоскаПолПрихожая1","1498 mm","90 mm","20 mm","1"
"Камера 1","Камеры","Камера 1","12024 mm","13562 mm","7198 mm","1"
"Камера 2","Камеры","Камера 2","9643 mm","9841 mm","5696 mm","1"
"Камера 3","Камеры","Камера 3","10926 mm","13285 mm","6506 mm","1"
"Кирпич","Печь","Кирпич","250 mm","120 mm","60 mm","3"
"Компонент#9","Ландшафт","Компонент#9","46590 mm","42500 mm","10 mm","1"
"Кровля","Кровля","Кровля","3682 mm","1196 mm","447 mm","2"
"Подножка","Седение","Подножка","2000 mm","90 mm","20 mm","2"
"Различие","Печь","Различие","312 mm","320 mm","5 mm","2"
"РейкаВнешняяПрихожая","ВнешнииСтенки","РейкаВнешняяПрихожая","22 mm","1600 mm","40 mm","4"
"РейкаВнешняяПрихожаяФронт","ВнешнииСтенки","ВерхЛево, ВерхПраво, ВерхТыл, ВерхФронт, ЛевоНиз, ПраваяНиз, РейкаВнешняяПрихожаяФронт (2), ТылНиз, ФронтНиз","22 mm","2000 mm","40 mm","10"
"РейкаВход","ВнешнииСтенки","Лево, Правая","22 mm","40 mm","1900 mm","2"
"РейкаДверь","Двери","РейкаДверь","22 mm","50 mm","1640 mm","4"
"РейкаКороткаяДверь","ВнешнииСтенки (2), Двери (4)","РейкаКороткаяДверь","22 mm","613 mm","40 mm","6"
"Седение","Седение","Седение","2000 mm","150 mm","20 mm","3"
"СедениеПрихожка","Наличник (3), Седение (4)","СедениеПрихожка","1600 mm","150 mm","20 mm","7"
"крепление уголок","крепление","крепление уголок","50 mm","40 mm","50 mm","107"